time,value
0.0,0.0
0.004,0.0025130095443337483
0.008,0.005024431817976956
0.012,0.007532680552793273
0.016,0.01003617148512149
0.02,0.012533323356430426
0.024,0.015022558912075707
0.028,0.017502305897527607
0.032,0.019970998051440706
0.036000000000000004,0.022427076094938124
0.04,0.024868988716485487
0.044,0.027295193551732523
0.048,0.029704158157703497
0.052000000000000005,0.03209436098072096
0.056,0.034464292317451704
0.06,0.0368124552684678
0.064,0.03913736668372025
0.068,0.04143755809932842
0.07200000000000001,0.043711576665093295
0.076,0.045957986062148785
0.08,0.04817536741017153
0.084,0.050362320163576085
0.088,0.052517462996129555
0.092,0.054639434673426905
0.096,0.05672689491267564
0.1,0.05877852522924731
0.10400000000000001,0.06079302976946054
0.108,0.06276913612907004
0.112,0.06470559615694442
0.116,0.06660118674342518
0.12,0.06845471059286887
0.124,0.07026499697988492
0.128,0.0720309024887907
0.132,0.07375131173581741
0.136,0.0754251380736104
0.14,0.07705132427757894
0.14400000000000002,0.07862884321366191
0.148,0.08015669848708767
0.152,0.0816339250717184
0.156,0.08305958991958128
0.16,0.08443279255020152
0.164,0.08575266561936523
0.168,0.08701837546695257
0.17200000000000001,0.08822912264349532
0.176,0.08938414241512636
0.18,0.09048270524660196
0.184,0.09152411726209175
0.188,0.0925077206834458
0.192,0.0934328942456612
0.196,0.09429905358928646
0.2,0.09510565162951537
0.20400000000000001,0.09585217890173761
0.20800000000000002,0.09653816388332742
0.212,0.09716317329146741
0.216,0.09772681235681935
0.22,0.09822872507286888
0.224,0.0986685944207868
0.228,1.0990461425696652
0.232,1.0993611310520008
0.23600000000000002,1.0996133609143173
0.24,1.0998026728428272
0.244,1.099928947264059
0.248,1.0999921044203815
0.252,1.0999921044203815
0.256,1.099928947264059
0.26,1.0998026728428272
0.264,1.0996133609143173
0.268,1.0993611310520008
0.272,1.0990461425696652
0.276,0.0986685944207868
0.28,0.09822872507286888
0.28400000000000003,0.09772681235681935
0.28800000000000003,0.09716317329146741
0.292,0.09653816388332742
0.296,0.09585217890173761
0.3,0.09510565162951538
0.304,0.09429905358928647
0.308,0.0934328942456612
0.312,0.09250772068344582
0.316,0.09152411726209175
0.32,0.09048270524660196
0.324,0.08938414241512638
0.328,0.08822912264349532
0.332,0.08701837546695257
0.336,0.08575266561936523
0.34,0.0844327925502015
0.34400000000000003,0.08305958991958128
0.34800000000000003,0.0816339250717184
0.352,0.0801566984870877
0.356,0.07862884321366193
0.36,0.07705132427757894
0.364,0.07542513807361041
0.368,0.07375131173581741
0.372,0.07203090248879072
0.376,0.07026499697988493
0.38,0.06845471059286888
0.384,0.06660118674342518
0.388,0.06470559615694442
0.392,0.06276913612907005
0.396,0.06079302976946052
0.4,0.058778525229247314
0.404,0.05672689491267563
0.40800000000000003,0.05463943467342691
0.41200000000000003,0.052517462996129555
0.41600000000000004,0.05036232016357605
0.42,0.04817536741017156
0.424,0.0459579860621488
0.428,0.04371157666509329
0.432,0.041437558099328434
0.436,0.03913736668372024
0.44,0.03681245526846782
0.444,0.034464292317451704
0.448,0.03209436098072097
0.452,0.029704158157703497
0.456,0.027295193551732506
0.46,0.024868988716485487
0.464,0.022427076094938103
0.468,0.01997099805144071
0.47200000000000003,0.01750230589752759
0.47600000000000003,0.015022558912075712
0.48,0.012533323356430454
0.484,0.010036171485121499
0.488,0.007532680552793304
0.492,0.005024431817976967
0.496,0.0025130095443337813
0.5,1.2246467991473533e-17
0.504,-0.002513009544333757
0.508,-0.005024431817976942
0.512,-0.00753268055279328
0.516,-0.010036171485121474
0.52,-0.012533323356430433
0.524,-0.015022558912075691
0.528,-0.017502305897527614
0.532,-0.01997099805144073
0.536,-0.022427076094938124
0.54,-0.024868988716485504
0.544,-0.02729519355173253
0.548,-0.029704158157703515
0.552,-0.03209436098072096
0.556,-0.03446429231745173
0.56,-0.03681245526846784
0.5640000000000001,-0.03913736668372026
0.5680000000000001,-0.04143755809932845
0.5720000000000001,-0.04371157666509331
0.5760000000000001,-0.04595798606214882
0.58,-0.048175367410171505
0.584,-0.05036232016357604
0.588,-0.05251746299612954
0.592,-0.05463943467342689
0.596,-0.05672689491267561
0.6,-0.05877852522924729
0.604,-0.06079302976946051
0.608,-0.06276913612907002
0.612,-0.0647055961569444
0.616,-0.06660118674342515
0.62,-0.06845471059286888
0.624,-0.0702649969798849
0.628,-0.0720309024887907
0.632,-0.07375131173581738
0.636,-0.0754251380736104
0.64,-0.07705132427757895
0.644,-0.07862884321366187
0.648,-0.08015669848708766
0.652,-0.0816339250717184
0.656,-0.08305958991958129
0.66,-0.08443279255020153
0.664,-0.0857526656193652
0.668,-0.08701837546695255
0.672,-0.08822912264349532
0.676,-0.08938414241512638
0.68,-0.09048270524660196
0.684,-0.09152411726209174
0.6880000000000001,-0.0925077206834458
0.6920000000000001,-0.0934328942456612
0.6960000000000001,-0.09429905358928647
0.7000000000000001,-0.09510565162951536
0.704,-0.09585217890173758
0.708,-0.09653816388332738
0.712,-0.0971631732914674
0.716,-0.09772681235681935
0.72,-0.09822872507286888
0.724,-0.09866859442078679
0.728,-0.09904614256966511
0.732,-0.09936113105200083
0.736,-0.09961336091431724
0.74,-0.09980267284282718
0.744,-0.09992894726405895
0.748,-0.09999210442038163
0.752,-0.09999210442038163
0.756,-0.09992894726405895
0.76,-0.09980267284282718
0.764,-0.09961336091431724
0.768,-0.09936113105200084
0.772,-0.09904614256966512
0.776,-0.09866859442078679
0.78,-0.0982287250728689
0.784,-0.09772681235681936
0.788,-0.09716317329146741
0.792,-0.09653816388332741
0.796,-0.09585217890173758
0.8,-0.09510565162951538
0.804,-0.09429905358928646
0.808,-0.0934328942456612
0.812,-0.09250772068344579
0.8160000000000001,-0.09152411726209175
0.8200000000000001,-0.09048270524660196
0.8240000000000001,-0.08938414241512636
0.8280000000000001,-0.0882291226434953
0.8320000000000001,-0.08701837546695253
0.836,-0.08575266561936523
0.84,-0.08443279255020156
0.844,-0.0830595899195813
0.848,-0.08163392507171842
0.852,-0.08015669848708767
0.856,-0.0786288432136619
0.86,-0.07705132427757898
0.864,-0.07542513807361041
0.868,-0.07375131173581741
0.872,-0.0720309024887907
0.876,-0.07026499697988496
0.88,-0.0684547105928689
0.884,-0.06660118674342518
0.888,-0.06470559615694442
0.892,-0.06276913612907002
0.896,-0.06079302976946056
0.9,-0.05877852522924733
0.904,-0.05672689491267564
0.908,-0.054639434673426884
0.912,-0.05251746299612953
0.916,-0.050362320163576106
0.92,-0.04817536741017153
0.924,-0.045957986062148765
0.928,-0.04371157666509326
0.932,-0.04143755809932845
0.936,-0.039137366683720254
0.9400000000000001,-0.03681245526846779
0.9440000000000001,-0.03446429231745168
0.9480000000000001,-0.0320943609807209
0.9520000000000001,-0.029704158157703504
0.9560000000000001,-0.027295193551732516
0.96,-0.02486898871648554
0.964,-0.02242707609493816
0.968,-0.019970998051440723
0.972,-0.017502305897527604
0.976,-0.015022558912075771
0.98,-0.012533323356430467
0.984,-0.01003617148512151
0.988,-0.007532680552793273
0.992,-0.005024431817977022
0.996,-0.002513009544333794
1.0,-2.4492935982947065e-17
1.004,0.002513009544333745
1.008,0.005024431817976974
1.012,0.007532680552793223
